experiment,method,n_views,n_objects,sde_ref_mean,sde_ref_min,sde_ref_max,f1_ref
axis_v00_hdbscan_ms3,svd_sde,14,664,0.025177965507072003,4.1204285058241796e-05,0.40860715796334457,
axis_v00_hdbscan_ms3,svd_sde,26,506,0.030365346204680742,0.00011834784914480892,0.45053907679558364,
axis_v00_hdbscan_ms3,svd_sde,6,547,0.02738023814920165,3.419860684067881e-05,0.4052983396223494,
axis_v00_hdbscan_ms5,ransac_svd,1,70,0.03919645143175236,0.00033262403149881447,0.22791851843148714,
axis_v00_hdbscan_ms5,ransac_svd,14,664,0.03898966862262076,4.1204285058241796e-05,0.49497147041772327,
axis_v00_hdbscan_ms5,ransac_svd,26,506,0.044922394812160316,7.151119647217508e-05,0.45053907679558364,
axis_v00_hdbscan_ms5,ransac_svd,6,547,0.043487463899362054,3.419860684067881e-05,0.41362606129536894,
axis_v00_hdbscan_ms5,ransac_svd_sde,1,70,0.03919645143175236,0.00033262403149881447,0.22791851843148714,
axis_v00_hdbscan_ms5,ransac_svd_sde,14,664,0.03898966862262076,4.1204285058241796e-05,0.49497147041772327,
axis_v00_hdbscan_ms5,ransac_svd_sde,26,506,0.044922394812160316,7.151119647217508e-05,0.45053907679558364,
axis_v00_hdbscan_ms5,ransac_svd_sde,6,547,0.043487463899362054,3.419860684067881e-05,0.41362606129536894,
axis_v00_hdbscan_ms5,svd,1,70,0.03919645143175236,0.00033262403149881447,0.22791851843148714,
axis_v00_hdbscan_ms5,svd,14,664,0.025184065610277744,1.7193735497452777e-06,0.4086490930450791,
axis_v00_hdbscan_ms5,svd,26,506,0.031034133268066765,7.151119647217508e-05,0.45053907679558364,
axis_v00_hdbscan_ms5,svd,6,547,0.026868242840931682,3.419860684067881e-05,0.4052983396223494,
axis_v00_hdbscan_ms5,svd_sde,1,70,0.03919645143175236,0.00033262403149881447,0.22791851843148714,
axis_v00_hdbscan_ms5,svd_sde,14,664,0.025184065610277744,1.7193735497452777e-06,0.4086490930450791,
axis_v00_hdbscan_ms5,svd_sde,26,506,0.031034133268066765,7.151119647217508e-05,0.45053907679558364,
axis_v00_hdbscan_ms5,svd_sde,6,547,0.026868242840931682,3.419860684067881e-05,0.4052983396223494,
axis_v00_p3,ransac_svd,1,98,0.03471934921795717,0.0004211253977409208,0.23426269803815536,
axis_v00_p3,ransac_svd,14,710,0.05262305326458568,3.3497166308522266e-05,0.4986569218011834,
axis_v00_p3,ransac_svd,26,575,0.0566352372941192,4.582377405445567e-05,0.538119623731661,
axis_v00_p3,ransac_svd,6,599,0.04901373214771972,0.0001748555977924647,0.38730261641229013,
axis_v00_p3,ransac_svd_sde,1,98,0.03471934921795717,0.0004211253977409208,0.23426269803815536,
axis_v00_p3,ransac_svd_sde,14,710,0.05262305326458568,3.3497166308522266e-05,0.4986569218011834,
axis_v00_p3,ransac_svd_sde,26,575,0.0566352372941192,4.582377405445567e-05,0.538119623731661,
axis_v00_p3,ransac_svd_sde,6,599,0.04901373214771972,0.0001748555977924647,0.38730261641229013,
axis_v00_p3,svd,1,98,0.03471934921795717,0.0004211253977409208,0.23426269803815536,
axis_v00_p3,svd,14,710,0.02031834424493899,1.7098683128480756e-06,0.4296295755867397,
axis_v00_p3,svd,26,575,0.02359945598766668,1.8638562568514698e-05,0.45053898070188997,
axis_v00_p3,svd,6,599,0.02415097740707222,5.731351126419552e-05,0.38594101857844376,
axis_v00_p3,svd_sde,1,98,0.03471934921795717,0.0004211253977409208,0.23426269803815536,
axis_v00_p3,svd_sde,14,710,0.02031834424493899,1.7098683128480756e-06,0.4296295755867397,
axis_v00_p3,svd_sde,26,575,0.02359945598766668,1.8638562568514698e-05,0.45053898070188997,
axis_v00_p3,svd_sde,6,599,0.02415097740707222,5.731351126419552e-05,0.38594101857844376,
axis_v00_p3_cluster,ransac_svd,1,98,0.03471934921795717,0.0004211253977409208,0.23426269803815536,
axis_v00_p3_cluster,ransac_svd,14,703,0.05344731664724308,4.82759625352147e-05,0.4986569218011834,
axis_v00_p3_cluster,ransac_svd,26,563,0.05916129221328447,0.00011259676382353538,0.539479480335393,
axis_v00_p3_cluster,ransac_svd,6,590,0.050396373088785744,0.0001514206268120783,0.4604484554119974,
axis_v00_p3_cluster,ransac_svd_sde,1,98,0.03471934921795717,0.0004211253977409208,0.23426269803815536,
