experiment,method,n_views,n_objects,sde_ref_mean,sde_ref_min,sde_ref_max,f1_ref
plane_v00_p3,ransac_svd,14,774,0.021146062715959923,1.3168309659747058e-05,0.2981571882395787,0.0854978354978355
plane_v00_p3,ransac_svd,26,649,0.021373639794465264,1.7354764597769236e-06,0.3042584620489135,0.04720052083333333
plane_v00_p3,ransac_svd,6,588,0.025330671034590486,6.570403992911428e-06,0.29032253627248555,0.13043478260869565
plane_v00_p3,ransac_svd_sde,1,319,0.04768854956507846,0.00012151082682943767,0.3150371836206749,0.046495956873315356
plane_v00_p3,ransac_svd_sde,14,774,0.021146062715959923,1.3168309659747058e-05,0.2981571882395787,0.0854978354978355
plane_v00_p3,ransac_svd_sde,26,649,0.021373639794465264,1.7354764597769236e-06,0.3042584620489135,0.04720052083333333
plane_v00_p3,ransac_svd_sde,6,588,0.025330671034590486,6.570403992911428e-06,0.29032253627248555,0.13043478260869565
plane_v00_p3,svd,1,319,0.04768854956507846,0.00012151082682943767,0.3150371836206749,0.046495956873315356
plane_v00_p3,svd,14,774,0.014180607733966134,5.321946840730922e-06,0.24766315737573408,0.09009740259740259
plane_v00_p3,svd,26,649,0.01323729813194054,1.7354764597769236e-06,0.3042584620489135,0.068359375
plane_v00_p3,svd,6,588,0.022154738563363446,3.1426974548557153e-06,0.29032253627248555,0.15652173913043477
plane_v00_p3,svd_sde,1,319,0.04768854956507846,0.00012151082682943767,0.3150371836206749,0.046495956873315356
plane_v00_p3,svd_sde,14,774,0.014180607733966134,5.321946840730922e-06,0.24766315737573408,0.09009740259740259
plane_v00_p3,svd_sde,26,649,0.01323729813194054,1.7354764597769236e-06,0.3042584620489135,0.068359375
plane_v00_p3,svd_sde,6,588,0.022154738563363446,3.1426974548557153e-06,0.29032253627248555,0.15652173913043477
plane_v00_p5,ransac_svd,1,424,0.051519055518069484,6.285724246816588e-05,0.3007287947547381,0.02971311475409836
plane_v00_p5,ransac_svd,14,821,0.021966301505267686,1.9531684315841217e-06,0.33922146115975294,0.08529111338100101
