label,object_id,angular_error_deg,sde,dist_origin_centroid_norm,sphericity
direct,4b38f041ed60b99f7fe17e97940646fa,3.2193,0.43271,0.1362421774865894,0.8227261379806432
direct,4b495cde98399a83d4d8765e3910f617,7.2698,0.737597,0.13064159602072456,0.7203816457691654
direct,4b715a1f611b30768b45d2a1081eca04,9.4059,0.485481,0.09280121413964262,0.7038191780640437
direct,4bd1e17e8bfe8d5622309d9bc2301ff1,86.3831,0.299018,0.3107698975161784,0.6364062407872639
direct,4c68319a9f02d3909807fae46dcfc049,3.817,0.486737,0.07344391298267908,0.4080229110438553
direct,4d79731efe402b0d635469b95109803c,3.3288,0.160275,0.4024374311869521,0.7526568789756914
direct,4dabd28be1615419546a56a24fdd418a,3.3852,0.35521,0.22415157013847514,0.7323597482516192
direct,4e1fdafd569814c241cefd10ce5d6cc0,3.578,0.094029,0.11526014526948526,0.6437246827320082
direct,4e43690694133a65e5ef38e098c46afd,7.4031,0.657662,0.07843080546238787,0.7516519667658516
direct,4e6313bce5ee3698909d4348e3fee2dd,2.9127,0.042791,0.06685780761802076,0.6831134452776682
direct,4ead9b28515b97fdc0e2e9e9ade4d03b,3.5324,0.163258,0.1730810218707928,0.7213938581485307
direct,4f228d116af6e6ad88a3e0e92891ad5,2.6539,0.065861,0.6362661210984497,0.718389350130785
direct,4f35874fc0301d015cd4f7d5b0608a,3.8012,0.49884,0.13642070814056048,0.7673559434238191
direct,4f409f31b182075511b6d7dda2bf041e,3.6735,0.080913,0.04221075924743609,0.5886562521979799
direct,4fc0bc3fb6438dffab1d1edf764243e3,3.8383,0.622146,0.1372499983201004,0.7287018450608881
direct,50b1f4e5a130dafbb5b1048c702c9b77,4.3288,0.247663,0.3263538710851939,0.8856219760708349
direct,5125de61a2cf9dd2b362845c6edb57fc,86.3822,0.444768,0.09034077106767706,0.7055413784389165
direct,5132921c7ed221103af30a3946d92feb,4.0106,0.581754,0.12762270732540998,0.7821356837332285
direct,5135a234fe18481235836c728d324152,3.3589,0.421606,0.336610280972776,0.8027405004555334
direct,5174613439e9cf79d2808af04871028b,82.996,0.170838,0.02392631252656746,0.8861107963551309
direct,51c60589bdd1ed73d4d8765e3910f617,2.8859,0.741857,0.08362838604796376,0.7154472924034972
direct,5207969c5c38875a6eca3a103e1326ab,15.1894,0.695458,0.04198870949802803,0.6824691123770763
direct,52160c130b4c132244221bef0fa3c36b,88.031,0.643425,0.19080731172749382,0.7797779687203336
direct,524e4a1041ae53154b3c42e318f3affc,16.4137,0.399286,0.09112531830130415,0.7807987068537018
direct,52867aee1e2e137912a905e721b748f5,43.805,0.511746,0.11306215897725742,0.7165472378835238
direct,52c23e4a42c5f058ffc6e457221b9271,31.3465,0.274872,0.28121811872902985,0.8182504512876407
direct,52ffc103719ae88ef0f40fbf85e100a,3.7696,0.158949,0.07357416995584026,0.6850035281350402
direct,536cbcc72e3f648fb362845c6edb57fc,86.3936,0.340487,0.06599104487454681,0.733480484013206
