group,experiment_id,angular_error_deg
independent,axis_v04,68.8459
independent,axis_v04,78.5545
independent,axis_v04,3.3101
independent,axis_v04,2.333
independent,axis_v04,87.8232
independent,axis_v04,45.9848
independent,axis_v04,2.2908
independent,axis_v04,10.8895
independent,axis_v04,7.115
independent,axis_v04,46.3611
independent,axis_v04,85.6499
independent,axis_v04,89.1971
independent,axis_v04,38.9263
independent,axis_v04,55.4802
independent,axis_v04,88.9229
independent,axis_v04,0.5852
independent,axis_v04,80.4754
independent,axis_v04,17.3752
independent,axis_v04,14.8371
independent,axis_v04,87.475
independent,axis_v04,26.4749
independent,axis_v04,6.6582
independent,axis_v04,34.5153
independent,axis_v04,15.7757
independent,axis_v04,88.3035
independent,axis_v04,68.9683
independent,axis_v04,6.0713
independent,axis_v04,69.3425
independent,axis_v04,82.4452
independent,axis_v04,5.0693
independent,axis_v04,75.4013
independent,axis_v04,85.8072
independent,axis_v04,88.4063
independent,axis_v04,7.6343
independent,axis_v04,89.6995
independent,axis_v04,18.952
independent,axis_v04,65.8436
independent,axis_v04,0.6202
independent,axis_v04,3.8714
independent,axis_v04,5.358
independent,axis_v04,4.5052
independent,axis_v04,1.4366
independent,axis_v04,77.9593
independent,axis_v04,23.4485
independent,axis_v04,84.7513
independent,axis_v04,51.0098
independent,axis_v04,81.4165
independent,axis_v04,8.0974
independent,axis_v04,5.6049
independent,axis_v04,88.4399
independent,axis_v04,15.5095
independent,axis_v04,9.4604
independent,axis_v04,85.0817
independent,axis_v04,87.6949
independent,axis_v04,6.843
independent,axis_v04,56.3224
independent,axis_v04,8.6772
independent,axis_v04,13.1263
independent,axis_v04,4.4718
independent,axis_v04,61.2629
independent,axis_v04,6.4741
independent,axis_v04,23.263
independent,axis_v04,14.1623
independent,axis_v04,37.9492
independent,axis_v04,82.3989
independent,axis_v04,90.0
independent,axis_v04,3.7293
independent,axis_v04,52.1185
independent,axis_v04,2.2041
independent,axis_v04,89.2164
independent,axis_v04,0.9984
independent,axis_v04,12.9007
independent,axis_v04,4.3466
independent,axis_v04,6.1706
independent,axis_v04,83.3563
independent,axis_v04,60.896
independent,axis_v04,2.9703
independent,axis_v04,44.6314
independent,axis_v04,74.6514
independent,axis_v04,12.9867
independent,axis_v04,81.2887
independent,axis_v04,8.4415
independent,axis_v04,3.8243
independent,axis_v04,17.5641
independent,axis_v04,87.5218
independent,axis_v04,21.9335
independent,axis_v04,59.3507
independent,axis_v04,6.3444
independent,axis_v04,5.0665
independent,axis_v04,84.4873
independent,axis_v04,89.1247
independent,axis_v04,79.8254
independent,axis_v04,78.3882
independent,axis_v04,1.0088
independent,axis_v04,89.4279
independent,axis_v04,4.7069
independent,axis_v04,1.9579
independent,axis_v04,6.9823
independent,axis_v04,15.5951
independent,axis_v04,86.4605
independent,axis_v04,28.4654
independent,axis_v04,81.5744
independent,axis_v04,90.0
independent,axis_v04,9.1289
independent,axis_v04,8.6002
independent,axis_v04,84.4838
independent,axis_v04,1.6732
independent,axis_v04,7.7759
independent,axis_v04,76.8488
independent,axis_v04,87.8383
independent,axis_v04,2.5502
independent,axis_v04,58.9651
independent,axis_v04,87.7078
independent,axis_v04,88.4246
independent,axis_v04,59.4654
independent,axis_v04,34.6883
independent,axis_v04,84.218
independent,axis_v04,2.8962
independent,axis_v04,27.4105
independent,axis_v04,6.3895
independent,axis_v04,44.2744
independent,axis_v04,80.9425
independent,axis_v04,19.9932
independent,axis_v04,3.7889
independent,axis_v04,10.4869
independent,axis_v04,89.3888
independent,axis_v04,5.8556
independent,axis_v04,6.9316
independent,axis_v04,26.4951
independent,axis_v04,7.1317
independent,axis_v04,7.6226
independent,axis_v04,9.5849
independent,axis_v04,48.37
independent,axis_v04,4.5062
independent,axis_v04,89.7404
independent,axis_v04,4.8213
independent,axis_v04,6.1082
independent,axis_v04,35.2932
independent,axis_v04,89.7099
independent,axis_v04,63.7879
independent,axis_v04,49.8291
independent,axis_v04,9.6388
independent,axis_v04,13.7969
independent,axis_v04,52.1142
independent,axis_v04,81.1306
independent,axis_v04,71.9026
independent,axis_v04,36.0234
independent,axis_v04,81.5375
independent,axis_v04,1.4604
independent,axis_v04,88.8484
independent,axis_v04,88.7374
independent,axis_v04,64.9101
independent,axis_v04,5.4988
independent,axis_v04,66.5598
independent,axis_v04,10.5165
independent,axis_v04,3.3433
independent,axis_v04,22.6528
independent,axis_v04,10.7751
independent,axis_v04,4.0492
independent,axis_v04,84.9452
independent,axis_v04,1.0702
independent,axis_v04,30.1114
independent,axis_v04,80.7066
independent,axis_v04,85.7332
independent,axis_v04,86.3162
independent,axis_v04,2.0336
independent,axis_v04,79.7407
independent,axis_v04,1.6565
independent,axis_v04,23.7229
independent,axis_v04,7.6262
independent,axis_v04,46.643
independent,axis_v04,1.5556
independent,axis_v04,53.8633
independent,axis_v04,1.8422
independent,axis_v04,85.0918
independent,axis_v04,45.0993
independent,axis_v04,69.4803
independent,axis_v04,89.4419
independent,axis_v04,1.2183
independent,axis_v04,81.9419
independent,axis_v04,75.5261
independent,axis_v04,1.2245
independent,axis_v04,11.9178
independent,axis_v04,4.7454
independent,axis_v04,31.8144
independent,axis_v04,89.9773
independent,axis_v04,57.4767
independent,axis_v04,5.7498
independent,axis_v04,7.035
independent,axis_v04,78.0384
independent,axis_v04,0.7149
independent,axis_v04,7.5645
independent,axis_v04,9.7314
independent,axis_v04,85.0804
independent,axis_v04,19.228
independent,axis_v04,25.1927
independent,axis_v04,54.6456
independent,axis_v04,53.2874
independent,axis_v04,7.0602
independent,axis_v04,10.7822
independent,axis_v04,48.7525
independent,axis_v04,87.3894
independent,axis_v04,89.9997
independent,axis_v04,87.6905
independent,axis_v04,14.8834
independent,axis_v04,42.828
independent,axis_v04,84.4378
independent,axis_v04,20.387
independent,axis_v04,87.4877
independent,axis_v04,11.0526
independent,axis_v04,0.7076
independent,axis_v04,88.1375
independent,axis_v04,88.3675
independent,axis_v04,1.1856
independent,axis_v04,20.2457
independent,axis_v04,77.0161
independent,axis_v04,90.0
independent,axis_v04,23.2913
independent,axis_v04,40.0599
independent,axis_v04,3.7473
independent,axis_v04,5.9959
independent,axis_v04,31.855
independent,axis_v04,28.334
independent,axis_v04,38.9745
independent,axis_v04,85.6808
independent,axis_v04,89.9443
independent,axis_v04,90.0
independent,axis_v04,46.8543
independent,axis_v04,5.5715
independent,axis_v04,84.8281
independent,axis_v04,82.3202
independent,axis_v04,11.2399
independent,axis_v04,17.6785
independent,axis_v04,71.6126
independent,axis_v04,82.7104
independent,axis_v04,40.4644
independent,axis_v04,88.5175
independent,axis_v04,50.8264
independent,axis_v04,18.9019
independent,axis_v04,86.8103
independent,axis_v04,3.4033
independent,axis_v04,86.7128
independent,axis_v04,25.3856
independent,axis_v04,3.5534
independent,axis_v04,3.7895
independent,axis_v04,9.661
independent,axis_v04,41.8257
independent,axis_v04,10.8506
independent,axis_v04,30.6276
independent,axis_v04,15.5159
independent,axis_v04,89.8072
independent,axis_v04,24.5244
independent,axis_v04,23.4542
independent,axis_v04,87.1169
independent,axis_v04,19.8625
independent,axis_v04,3.3373
independent,axis_v04,1.6691
independent,axis_v04,87.2453
independent,axis_v04,3.32
independent,axis_v04,3.1625
independent,axis_v04,60.8513
independent,axis_v04,86.5359
independent,axis_v04,11.9588
independent,axis_v04,67.757
independent,axis_v04,7.132
independent,axis_v04,86.6171
independent,axis_v04,90.0
independent,axis_v04,48.057
independent,axis_v04,79.4683
independent,axis_v04,15.7927
independent,axis_v04,7.8794
independent,axis_v04,3.3168
independent,axis_v04,30.1713
independent,axis_v04,26.5337
independent,axis_v04,85.1414
independent,axis_v04,79.6857
independent,axis_v04,11.762
independent,axis_v04,41.1376
independent,axis_v04,1.3453
independent,axis_v04,88.139
independent,axis_v04,16.2434
independent,axis_v04,49.4012
independent,axis_v04,85.9378
independent,axis_v04,9.1523
independent,axis_v04,10.2159
independent,axis_v04,87.715
independent,axis_v04,4.3465
independent,axis_v04,82.9253
independent,axis_v04,71.4172
independent,axis_v04,18.9666
independent,axis_v04,88.8706
independent,axis_v04,86.2126
independent,axis_v04,60.7761
independent,axis_v04,16.4585
independent,axis_v04,84.7526
independent,axis_v04,10.3817
independent,axis_v04,79.304
independent,axis_v04,86.3262
independent,axis_v04,7.7554
independent,axis_v04,19.8303
independent,axis_v04,55.2631
independent,axis_v04,5.0799
independent,axis_v04,32.9579
independent,axis_v04,75.2333
independent,axis_v04,89.9144
independent,axis_v04,7.5453
independent,axis_v04,38.0763
independent,axis_v04,81.439
independent,axis_v04,17.8257
independent,axis_v04,19.9114
independent,axis_v04,12.9074
independent,axis_v04,89.1702
independent,axis_v04,82.6545
independent,axis_v04,77.9176
independent,axis_v04,69.9032
independent,axis_v04,89.2186
independent,axis_v04,82.3362
independent,axis_v04,4.9137
independent,axis_v04,52.9591
independent,axis_v04,9.472
independent,axis_v04,3.284
independent,axis_v04,78.6679
independent,axis_v04,23.5193
independent,axis_v04,56.6422
independent,axis_v04,60.2823
independent,axis_v04,6.379
independent,axis_v04,90.0
independent,axis_v04,4.4497
independent,axis_v04,49.1615
independent,axis_v04,7.5481
independent,axis_v04,88.5272
independent,axis_v04,55.8465
independent,axis_v04,25.0806
independent,axis_v04,14.9424
independent,axis_v04,88.1453
independent,axis_v04,2.0433
independent,axis_v04,1.9232
independent,axis_v04,87.8332
independent,axis_v04,10.2713
independent,axis_v04,89.9891
independent,axis_v04,49.7507
independent,axis_v04,74.6989
independent,axis_v04,5.7031
independent,axis_v04,15.1692
independent,axis_v04,11.8625
independent,axis_v04,26.7321
independent,axis_v04,73.2846
independent,axis_v04,5.5478
independent,axis_v04,8.1224
independent,axis_v04,3.7741
independent,axis_v04,2.6071
independent,axis_v04,10.5816
independent,axis_v04,4.2549
independent,axis_v04,85.1777
independent,axis_v04,20.8804
independent,axis_v04,89.3414
independent,axis_v04,89.0639
independent,axis_v04,83.8878
independent,axis_v04,80.4992
independent,axis_v04,56.3646
independent,axis_v04,80.2262
independent,axis_v04,38.8082
independent,axis_v04,5.4923
independent,axis_v04,3.0381
independent,axis_v04,89.1615
independent,axis_v05,62.4196
independent,axis_v05,79.3633
independent,axis_v05,2.0683
