experiment,method,n_views,n_objects,angular_error_mean,angular_error_median,angular_error_std,translation_error_mean,translation_error_median,translation_error_std,auc_angular,n_points_mean,precision_5deg,precision_10deg,precision_15deg,sde_mean,sde_median,sde_std,auc_sde,precision_sde_010,precision_sde_020
plane_v01,svd_sde,6,48,27.2751,17.1926,25.4185,0.010636,0.005062,0.014769,0.5045,2.5,0.1875,0.3542,0.4583,0.37158,0.352608,0.179358,0.006,0.0,0.0
plane_v01,svd_sde,14,60,42.2437,37.5344,32.38,0.016373,0.005104,0.037666,0.3617,4.18,0.15,0.2667,0.3167,0.308503,0.308377,0.186925,0.0398,0.0,0.0
plane_v01,svd_sde,26,75,44.9,48.4025,32.3192,0.015194,0.006681,0.019771,0.3284,7.57,0.0933,0.1867,0.2933,0.332054,0.315407,0.191422,0.0444,0.0,0.0
plane_v01,svd,6,48,27.2751,17.1926,25.4185,0.010636,0.005062,0.014769,0.5045,2.5,0.1875,0.3542,0.4583,0.37158,0.352608,0.179358,0.006,0.0,0.0
plane_v01,svd,14,60,42.2437,37.5344,32.38,0.016373,0.005104,0.037666,0.3617,4.18,0.15,0.2667,0.3167,0.308503,0.308377,0.186925,0.0398,0.0,0.0
plane_v01,svd,26,75,44.9,48.4025,32.3192,0.015194,0.006681,0.019771,0.3284,7.57,0.0933,0.1867,0.2933,0.332054,0.315407,0.191422,0.0444,0.0,0.0
plane_v02,ransac_svd_sde,1,59,11.146,3.7287,17.4597,0.004605,0.001545,0.010227,0.7847,2.0,0.6949,0.7458,0.8136,0.385391,0.405139,0.228495,0.0325,0.0,0.0
plane_v02,ransac_svd_sde,6,85,55.5292,67.901,36.1272,0.015189,0.006023,0.023538,0.2803,6.73,0.2118,0.2706,0.2824,0.269524,0.208774,0.192573,0.0627,0.0,0.0118
plane_v02,ransac_svd_sde,14,93,73.5488,87.924,27.6519,0.015498,0.006427,0.024916,0.1132,16.92,0.0753,0.086,0.1075,0.256546,0.192873,0.211519,0.0803,0.0,0.0215
plane_v02,ransac_svd_sde,26,90,73.3528,87.5227,27.709,0.024546,0.008313,0.044694,0.1125,30.24,0.0667,0.0889,0.1111,0.201766,0.145159,0.159657,0.1037,0.0,0.0111
plane_v02,ransac_svd,1,59,11.146,3.7287,17.4597,0.004605,0.001545,0.010227,0.7847,2.0,0.6949,0.7458,0.8136,0.385391,0.405139,0.228495,0.0325,0.0,0.0
plane_v02,ransac_svd,6,85,55.5292,67.901,36.1272,0.015189,0.006023,0.023538,0.2803,6.73,0.2118,0.2706,0.2824,0.269524,0.208774,0.192573,0.0627,0.0,0.0118
plane_v02,ransac_svd,14,93,73.5488,87.924,27.6519,0.015498,0.006427,0.024916,0.1132,16.92,0.0753,0.086,0.1075,0.256546,0.192873,0.211519,0.0803,0.0,0.0215
plane_v02,ransac_svd,26,90,73.3528,87.5227,27.709,0.024546,0.008313,0.044694,0.1125,30.24,0.0667,0.0889,0.1111,0.201766,0.145159,0.159657,0.1037,0.0,0.0111
plane_v02,svd_sde,1,59,11.146,3.7287,17.4597,0.004605,0.001545,0.010227,0.7847,2.0,0.6949,0.7458,0.8136,0.385391,0.405139,0.228495,0.0325,0.0,0.0
